"","cellname","cluster","celltype","nUMI"
"X1772067069_C08","X1772067069_C08",2,"eNeuron",10465
"X1772063065_C08","X1772063065_C08",2,"eNeuron",3337
"X1772062116_A06","X1772062116_A06",2,"eNeuron",5983
"X1772063061_A05","X1772063061_A05",2,"eNeuron",4352
"X1772063068_F02","X1772063068_F02",2,"eNeuron",2573
"X1772060240_D06","X1772060240_D06",2,"eNeuron",4645
"X1772063063_D11","X1772063063_D11",2,"eNeuron",7333
"X1772062115_C11","X1772062115_C11",2,"eNeuron",6509
"X1772071041_C10","X1772071041_C10",2,"eNeuron",4688
"X1772060225_C12","X1772060225_C12",2,"eNeuron",2956
"X1772063068_G11","X1772063068_G11",2,"eNeuron",2797
"X1772067069_C05","X1772067069_C05",2,"eNeuron",4648
"X1772063065_C09","X1772063065_C09",2,"eNeuron",2502
"X1772063065_E02","X1772063065_E02",2,"eNeuron",2543
"X1772063068_G10","X1772063068_G10",2,"eNeuron",1731
"X1772067073_B04","X1772067073_B04",2,"eNeuron",4904
"X1772067074_D08","X1772067074_D08",2,"eNeuron",3944
"X1772071040_H01","X1772071040_H01",2,"eNeuron",3788
"X1772063062_F07","X1772063062_F07",2,"eNeuron",7599
"X1772062113_E01","X1772062113_E01",2,"eNeuron",3415
"X1772063071_E07","X1772063071_E07",2,"eNeuron",2752
"X1772063065_D02","X1772063065_D02",2,"eNeuron",2867
"X1772063071_C08","X1772063071_C08",2,"eNeuron",2342
"X1772063062_F05","X1772063062_F05",2,"eNeuron",2215
"X1772063068_A06","X1772063068_A06",2,"eNeuron",2253
"X1772066104_F10","X1772066104_F10",2,"eNeuron",2750
"X1772058177_G10","X1772058177_G10",2,"eNeuron",5448
"X1772063068_H01","X1772063068_H01",2,"eNeuron",2121
"X1772067073_F10","X1772067073_F10",2,"eNeuron",4947
"X1772063062_C04","X1772063062_C04",2,"eNeuron",4675
"X1772062109_A11","X1772062109_A11",2,"eNeuron",2677
"X1772063068_C10","X1772063068_C10",2,"eNeuron",2315
"X1772063068_G04","X1772063068_G04",2,"eNeuron",2026
"X1772063065_A03","X1772063065_A03",2,"eNeuron",2038
"X1772062128_A09","X1772062128_A09",2,"eNeuron",3360
"X1772063071_F08","X1772063071_F08",2,"eNeuron",2289
"X1772071015_D07","X1772071015_D07",2,"eNeuron",11599
"X1772071015_D08","X1772071015_D08",2,"eNeuron",15104
"X1772067064_A12","X1772067064_A12",2,"eNeuron",6594
"X1772067066_C03","X1772067066_C03",2,"eNeuron",6954
"X1772062109_F09","X1772062109_F09",2,"eNeuron",6832
"X1772060224_C03","X1772060224_C03",2,"eNeuron",2209
"X1772071040_H03","X1772071040_H03",2,"eNeuron",2381
"X1772063062_D03","X1772063062_D03",2,"eNeuron",3378
"X1772067064_A11","X1772067064_A11",2,"eNeuron",15031
"X1772067073_E06","X1772067073_E06",2,"eNeuron",12209
"X1772071040_F10","X1772071040_F10",2,"eNeuron",6353
"X1772071040_D11","X1772071040_D11",2,"eNeuron",5463
"X1772062116_B02","X1772062116_B02",2,"eNeuron",6053
"X1772071041_D08","X1772071041_D08",2,"eNeuron",6369
"X1772067064_G12","X1772067064_G12",2,"eNeuron",6951
"X1772062109_E09","X1772062109_E09",2,"eNeuron",9072
"X1772067074_A02","X1772067074_A02",2,"eNeuron",5819
"X1772067074_C04","X1772067074_C04",2,"eNeuron",6618
"X1772071040_F06","X1772071040_F06",2,"eNeuron",11237
"X1772067074_G06","X1772067074_G06",2,"eNeuron",10926
"X1772067063_B09","X1772067063_B09",2,"eNeuron",5532
"X1772071041_F02","X1772071041_F02",2,"eNeuron",6396
"X1772067073_B06","X1772067073_B06",2,"eNeuron",8479
"X1772067073_G04","X1772067073_G04",2,"eNeuron",10145
"X1772067070_B11","X1772067070_B11",2,"eNeuron",5599
"X1772062111_H10","X1772062111_H10",2,"eNeuron",4261
"X1772067063_A01","X1772067063_A01",2,"eNeuron",4845
"X1772071040_A11","X1772071040_A11",2,"eNeuron",7846
"X1772071041_E04","X1772071041_E04",2,"eNeuron",8780
"X1772062118_B11","X1772062118_B11",2,"eNeuron",3843
"X1772067070_G04","X1772067070_G04",2,"eNeuron",4471
"X1772071040_E02","X1772071040_E02",2,"eNeuron",8570
"X1772071041_D11","X1772071041_D11",2,"eNeuron",5241
"X1772071040_B06","X1772071040_B06",2,"eNeuron",7345
"X1772067070_H11","X1772067070_H11",2,"eNeuron",4485
"X1772063071_C01","X1772063071_C01",2,"eNeuron",2397
"X1772062111_B01","X1772062111_B01",2,"eNeuron",3326
"X1772063068_C01","X1772063068_C01",2,"eNeuron",3124
"X1772060240_B10","X1772060240_B10",2,"eNeuron",2535
"X1772060240_B01","X1772060240_B01",2,"eNeuron",1854
"X1772060225_E01","X1772060225_E01",2,"eNeuron",1983
"X1772063077_C12","X1772063077_C12",2,"eNeuron",2776
"X1772063065_F01","X1772063065_F01",2,"eNeuron",2142
"X1772062115_D01","X1772062115_D01",2,"eNeuron",2023
"X1772062118_A01","X1772062118_A01",2,"eNeuron",2400
"X1772063065_A01","X1772063065_A01",2,"eNeuron",2986
"X1772067070_D10","X1772067070_D10",2,"eNeuron",2933
"X1772071040_A01","X1772071040_A01",2,"eNeuron",3579
"X1772063068_B10","X1772063068_B10",2,"eNeuron",1562
"X1772067066_G02","X1772067066_G02",2,"eNeuron",4150
"X1772063077_G04","X1772063077_G04",2,"eNeuron",3264
"X1772063071_E01","X1772063071_E01",2,"eNeuron",3420
"X1772067070_D05","X1772067070_D05",2,"eNeuron",2294
"X1772062111_H11","X1772062111_H11",2,"eNeuron",4195
"X1772071041_B12","X1772071041_B12",2,"eNeuron",6507
"X1772063077_E05","X1772063077_E05",2,"eNeuron",2890
"X1772067073_F02","X1772067073_F02",2,"eNeuron",4246
"X1772062111_A09","X1772062111_A09",2,"eNeuron",2935
"X1772063061_A10","X1772063061_A10",2,"eNeuron",2621
"X1772062128_C12","X1772062128_C12",2,"eNeuron",4039
"X1772063061_A03","X1772063061_A03",2,"eNeuron",3930
"X1772063074_E06","X1772063074_E06",2,"eNeuron",5880
"X1772063064_H01","X1772063064_H01",2,"eNeuron",3974
"X1772071014_C08","X1772071014_C08",2,"eNeuron",11547
"X1772067064_H05","X1772067064_H05",2,"eNeuron",17242
"X1772063068_A12","X1772063068_A12",2,"eNeuron",4404
"X1772062109_H06","X1772062109_H06",2,"eNeuron",8141
"X1772062109_D03","X1772062109_D03",2,"eNeuron",7840
"X1772067065_G07","X1772067065_G07",2,"eNeuron",13450
"X1772062128_D01","X1772062128_D01",2,"eNeuron",4673
"X1772071014_H02","X1772071014_H02",2,"eNeuron",14091
"X1772063061_H04","X1772063061_H04",2,"eNeuron",3855
"X1772062115_C09","X1772062115_C09",2,"eNeuron",5829
"X1772063078_E02","X1772063078_E02",2,"eNeuron",6188
"X1772063061_H12","X1772063061_H12",2,"eNeuron",9603
"X1772063061_E05","X1772063061_E05",2,"eNeuron",8294
"X1772058177_G03","X1772058177_G03",2,"eNeuron",9207
"X1772063068_E07","X1772063068_E07",2,"eNeuron",4689
"X1772063061_C11","X1772063061_C11",2,"eNeuron",4122
"X1772063061_D11","X1772063061_D11",2,"eNeuron",6093
"X1772063061_E06","X1772063061_E06",2,"eNeuron",4908
"X1772063071_A03","X1772063071_A03",2,"eNeuron",5753
"X1772058171_C07","X1772058171_C07",2,"eNeuron",4660
"X1772063061_G12","X1772063061_G12",2,"eNeuron",4477
"X1772062128_H06","X1772062128_H06",2,"eNeuron",3566
"X1772062115_C08","X1772062115_C08",2,"eNeuron",7693
"X1772063061_C02","X1772063061_C02",2,"eNeuron",9768
"X1772063061_C06","X1772063061_C06",2,"eNeuron",6043
"X1772063061_H01","X1772063061_H01",2,"eNeuron",6302
"X1772063061_B06","X1772063061_B06",2,"eNeuron",3695
"X1772063071_E12","X1772063071_E12",2,"eNeuron",5874
"X1772058177_C10","X1772058177_C10",2,"eNeuron",4898
"X1772058177_H05","X1772058177_H05",2,"eNeuron",4197
"X1772063061_F06","X1772063061_F06",2,"eNeuron",6233
"X1772058177_H07","X1772058177_H07",2,"eNeuron",2958
"X1772058171_E01","X1772058171_E01",2,"eNeuron",5624
"X1772063061_A02","X1772063061_A02",2,"eNeuron",4941
"X1772063061_B01","X1772063061_B01",2,"eNeuron",4686
"X1772063068_F09","X1772063068_F09",2,"eNeuron",3656
"X1772063064_C02","X1772063064_C02",2,"eNeuron",4789
"X1772063061_G01","X1772063061_G01",2,"eNeuron",3239
"X1772063068_B04","X1772063068_B04",2,"eNeuron",3697
"X1772063077_C06","X1772063077_C06",2,"eNeuron",4222
"X1772063061_H08","X1772063061_H08",2,"eNeuron",4615
"X1772062128_E06","X1772062128_E06",2,"eNeuron",3503
